N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
197,Culture G,Littérature,"Dans l'univers créé par J.R.R. Tolkien, que sont Andúril, Glamdring ou Orcrist ?",Des épées 
198,Otaku,Manga,Comment s'appelle le chien-démon-tronçonneuse de Denji au début de Chainsaw Man ?,Pochita
199,Otaku,Animé,"Le héros de Cyberpunk Edgerunners, c'est David, Philip ou Luis Martinez ?",David Martinez
200,Culture G,Cinéma,"Dans le film neo-noir de SF Blade Runner (Ridley Scott, 1982), c'est quoi les Nexus-6 ?",Des réplicants (androïdes) de dernière génération et très perfectionnés)
201,Culture G,Cinéma,Sous quel titre est connu l'adaptation cinématographique du roman de Philip K. Dick Les androïdes rêvent-ils de moutons électriques ?,Blade Runner
202,Culture G,Musique,Quel album de musique légendraire se cache derrière le sigle ZZCCMXTP ?,"La Zizi Caca Mixtape (KronoMuzik, Pandrezz, Ronare et de nombreux guests ; 2022)"
203,Culture G,Littérature,"Dans une bibliothèque municipale (ou un CDI), si je trouve un livre étiqueté ""T MOL"", il y a de très fortes chances que ce soit quoi ?",Une pièce de théâtre de Molière
204,Otaku,Manga,"Dans À quoi tu joues, Ayumu ?, à quoi il joue, Ayumu ?",Au shogi
205,Otaku,Manga,"D'après le titre français du manga/animé (Komi-san) dont elle est l'héroïne, elle fait quoi, Komi ?",Elle cherche ses mots
206,Otaku,Manga,"Dans Jujutsu Kaisen, le trio principal de héros (Yuji, Megumi et Nobara), ils sont de l'école d'exorcisme de Tokyo ou de Kyoto ?",De Tokyo
207,Culture G,Cinéma,Quel est le nom complet du podcast 2HDP dont les membres perdent chaque semaine environ 2 heures à regarder des films souvent nuls ?,2 heures de perdues
208,Culture G,Musique,"(Complète ces paroles de chanson) Eh approche, écoute, hoche la tête si t'accroches. Pour nos familles et nos proches, c'est : ...","GRAVÉ DANS LA ROCHE (Sniper, Gravé dans la roche, 2003) "
209,Culture G,Musique,"Dans sa chanson Mon Fils, ma bataille, que menaçait de faire Daniel Balavoine si vous touchiez au fruit de ses entrailles ?",TOUT CASSER (HÉHÉHÉ)
210,JV,Jeu Vidéo,C'est quoi le but du jeu Powerwash Simulator ?,Nettoyer... des trucs sales... avec un jet d'eau à haute pression (style Kärcher™)
211,Culture G,Cinéma,"Quel film des années 1980 contenant ""dance"" dans on titre met en scène une héroïne qui est une maniaque, une maniaque sur le dancefloor et qui danse comme elle n'a jamais dansé before ?",Flashdance
212,Culture G,Youtube,"Dans la YouTube Poop intitulée Le Clash de la Tondeuse, sur le côté droit de la tondeuse, on trouve la jauge à huile. Mais que trouve t'on sur son côté gauche ?",Le CÔ-TÉ GAUCHE
213,Culture G,Économie,"En économie, comment appelle-t-on un bien qui permet à son propriétaire de montrer au monde qu'il possède des thunes, qu'il est à l'aise financièrement ?",Un bien positionnel
214,Culture G,Cinéma,"Quel manga de Jiro Taniguchi a connu, à titre posthume, une adaptation en film d'animation par une équipe française qui a rencontré un franc succès critique à sa sortie en 2021 ?",Le Sommet des dieux
215,Culture G,Cinéma,Pourquoi le jury du festival du film d'animation d'Annecy n'a pas remis de grand prix en l'an 2000 ?,Parce qu'il considérait qu'aucun film en compétition ne le méritait... oups
216,Otaku,Light Novel,Qu'arrive-t-il au héros de Remake our Life au début de la série ?,Il remonte dans le temps et recommence sa vie à partir de la fin du lycée
217,Culture G,Télévision,"Quel boîte de production créée par Jean-Luc Azoulay et Claude Berda a sévi dans le domaine de la musique, puis de la télévision entre 1977 et 1999. On leur doit des grands noms de la chanson française, comme les Musclés ou Dorothée...",AB Production
218,Otaku,Animé,Dans quel animé à succès de 2006 peut-on entendre les chansons God Knows et Lost My Music lors d'une scène de concert qui a marqué les esprits à l'époque ?,La Mélancolie de Haruhi Suzumiya
219,Culture G,Sport,À quoi le cycliste Philippe Gilbert aurait-il dû faire attention lors du Tour de France 2018 ?,"AU PARAPET ! (Ah, c'est terrible)"
220,Culture G,Géographie,Peux-tu me citer au moins une des cinq langues indiennes les plus parlées en Inde ?,"Hindi, Bengali, Télougou, Marathi et Tamoul"
221,Otaku,Animé,"Quels sont les deux mots qui, répétés à l'excès, composent les paroles de la chanson du générique d'ouverture de l'animé Devilman Crybaby ?",Man et Human (la chanson s'appelle Man Human... eh oui)
222,Otaku,Light Novel,"À la Familia de quelle divinité appartient Bell Cranel, héros de Danmachi ?",La Familia de Hestia
223,Otaku,Manga,"Quel est le ""pouvoir"" du héros de Kubo Won't Let Me Be Invisible ?",Il est tellement effacé et discret que les gens remarquent pas sa présence
224,Otaku,Light Novel,Comment s'appelle le jeu vidéo dans lequel se déroule l'arc Phantom Bullet de Sword Art Online ?,Gun Gale Online
225,Otaku,Animé,Quel animé de robots géants est né en 1979 et a engendré un franchise qui est toujours active et en grande forme financière aujourd'hui ?,Mobile Suit Gundam
226,Otaku,Manga,Sous quel titre (un peu nul) le manga My Dress-up Darling / Sono Bisque Doll wa Koi wo Suru est-il publié en France ?,Sexy Cosplay Doll
227,Otaku,Manga,"Quelle est la passion de Marine Kitagawa, la protagoniste du manga My Dress-up Darling ?",Le cosplay
228,Otaku,Manga,Comment s'appelle le premier personnage cosplayé par Marine dans My Dress-up Darling ?,Shizuku Kuroe
229,Japon,Spectacle,"Comment s'appelle cette compagnie de théâtre japonaise créée pendant l'ère Meiji, entièrement féminine et qui sert de cadre à des séries comme Kageki Shôjo ou Revue Starlight ?",La Revue Takarazuka
230,Japon,Spectacle,C'est quoi le rakugo ?,Une forme de théâtre dans lequel un conteur raconte une histoire  (souvent comique) en endossant seul tous les rôles et en restant assis.
231,Japon,Spectacle,"Quelle est, historiquement, la particularité de la distribution des rôles dans le théâtre kabuki japonais ?","Tous les rôles sont joués par des hommes, y compris les rôles féminins."
232,Otaku,Manga,"Quel art très japonais pratique Akane, l'héroïne du manga Akane-banashi (publié dans le Jump depuis février 2022) ?",Le rakugo
233,Japon,Géographie,"À 100 près, combien le Japon compte-t-il d'îles (de plus de 100 m²) ?",6 852
234,Japon,Géographie,Peux-tu citer une des quatre grandes îles principales du Japon (indice : Okinawa n'en fait pas partie) ?,"Honshû, Hôkkaido, Kyûshû et Shikoku"
235,Japon,Géographie,Comment s'appelle le peuple indigène / autochtone que l'on trouve dans le nord du Japon et à l'extremité est de la Russie ?,Les Aïnous
236,Japon,Langue,"En langage aïnou, que désigne le mot ""kamuy"", que l'on retrouve par exemple dans le titre du manga Golden Kamuy ?",Un dieu ou un grand esprit 
237,Japon,Religion,"Dans le shintoïsme japonais, qui est la déesse du Soleil ?",Amaterasu
238,Japon,Religion,"Dans le shintoïsme japonais, quel couple divin est à l'origine de la création de nombreux autres dieux et de l'archipel japonais",Inzanagi et Izanami
239,Culture G,Religion,"Dans la Bible, quel prophète passe 3 jours et 3 nuits dans le ventre d'un énorme poisson ?",Jonas
240,Culture G,Religion,"Dans la tradition chrétienne, comment s'appelle le soldat romain qui perce de sa lance le côté droit de Jésus alors que celui-ci est sur la croix ?",Longin (ou Longinus)
241,Otaku,Animé,"Dans Cromartie High School (série animée de 2003 sortie en France sous le titre Le Bahut des Tordus), de qui l'élève surnommé Freddie est-il le sosie ?",De Freddie Mercury
242,Japon,Cinéma,Comment s'appelle le fantôme du film japonais horrifique Ring ?,Sadako
243,Japon,Cinéma,"Quel humoriste japonais est connu en occident pour des films pas particulièrement drôles comme Hana-bi, Sonatine, l'Été de Kikujiro, Kids Return... qui impliquent souvent des yakuza ?",Takeshi Kitano
244,Culture G,Musique,Ils m'entraînent au bout de la nuit... mais de qui parle-t-on ?,Des démons de minuit
245,Culture G,Musique,Quelle hallucination auditive peut-on entendre dans One More Time des Daft Punk quand on est quelqu'un d'un peu bizarre ?,"Saloperie de Danette aux fruits / C'est le prix d'une Danette aux fruits. (La vraie phrase, c'est ""Celebrate and dance so free"".)"
246,Otaku,Manga,Peux-tu me citer un maison d'édition française de mangas ?,"Akata, Glénat, Kana, Ki-Oon, Kurokawa, Pika..."
247,Japon,Histoire,En quelle année (à 25 ans près) Tokyo est-elle devenu la capitale du Japon ?,En 1868 au début de l'ère Meiji quand l'Empereur a décidé de s'y installer...
248,Japon,Histoire,Quelle ville était la capitale du japon avant Tokyo ?,Kyoto (depuis 794)
249,Japon,Histoire,Quel était le nom de Tokyo avant que la ville ne soit renommée Tokyo (Capitale de l'Est) au XIXe siècle ?,Edo
250,Otaku,Mobage,Peux-tu me donner le nom d'un des sept groupes jouables dans le jeu pour mobiles Bang Dream! Girls Band Party ?,"Poppin' Party, Roselia, Afterglow, Pastel*Palettes, Hello! Happy World, Raise A Suilen, Morfonica"
251,Otaku,Animé,"Quelle était le nom de la pension ""Maison Ikkoku"" dans la version française de Maison Ikkoku (Titre VF : Juliette je t'aime) ?",La pension des Mimosas
252,Otaku,Animé,Quel groupe japonais signe de nombreuses chansons dans les bandes son des films Your Name et Les Enfants du temps ?,RADWIMPS
253,Otaku,Animé,Quelle technique de macération très particulière est utilisée dans Your Name pour fabriquer du saké ?,"Une prétresse mache (puis recrache) du riz. C'est un procédé ancestral et rituel, mais plus pratiqué de nos jours, qui permet de produire un alcool nommé le Kuchikamizake."
254,Otaku,Animé,À quelle série animée le film japonais d'animation Liz et l'Oiseau bleu est-il rattaché ?,Sound! Euphonium
255,Culture G,Histoire,"Parmi les figures féminines de la Révolution française, pourquoi connaît-on Charlotte Corday ?",Elle a assassiné Marat qui était d'après elle le responsable de la Terreur.
256,Otaku,Animé,"Quelle série animée a pour génériques d'ouverture des chansons nommées Haruka Mirai, Paint it Black ou encore Grandeur ?",Black Clover
257,Otaku,Manga,Quel est l'élément de la magie utilisée par Yuno dans Black Clover ?,Le vent
258,Otaku,Manga,"Dans Black Clover, quel est le principal obstacle au rêve d'Asta de devenir l'Empereur-Mage du Royaume de Clover ?",Il est né sans magie et ne possède aucune pouvoir magique.
259,Culture G,Musique,"D'après la chanson Marcia Baïla des Rita Mitsouko (1984), qui a assassiné Marcia ?",La mort
260,Otaku,Animé,"D'après Shirô Emiya dans de très célèbres (et très mauvais) fansubs de Fate/Stay Night 2006, qu'arrive-t-il aux gens lorsqu'ils sont tués ?",Ils meurent
261,Otaku,Animé,"Si toi aussi, tu as connu les notes des traducteurs dans les fansubs, est-ce que tu peux me dire ce que signifie ""keikaku"" dans Death Note ?","*keikaku means ""plan"" (en tout cas, c'est le cas dans la phrase ""just according to keikaku*"")."
262,Culture G,Musique,Quel groupe américain est le plus emblématique de la musique et de la culture grunge des années 1990 ?,Nirvana
263,Culture G,Littérature,De quel poème de Paul Valéry le film de Hayao Miyazaki Le vent se lève tire-t-il son titre ?,Le Cimetière marin
264,Otaku,Animé,Quel personnage de film sert de mascotte au studio Ghibli et est intégré dans son logo ?,Totoro
265,Otaku,Animé,"Quel franchise d'animés de SF née au début des années 1980 met traditionnellement en scène des avions qui se transforment en mécha, des idols et des triangles amoureux ?",Macross
266,Otaku,Animé,"De quelle région française est originaire Mireille Bouquet, héroïne de Noir, animé à succès du tout début des années 2000 ?",De Corse
267,Otaku,Animé,Quel édifice reconnu monument historique par la Nation française est détruit lors de la baston finale du film Heartcatch Precure ?,"Le Mont-Saint-Michel (les sagouins, il n'y a donc rien de sacré...)"
268,Culture G,Musique,"D'après les paroles d'une célèbre chanson chantée par Jean-Marc Anthony Kabeya, qu'est-ce qui demande du courage ?",Un voyage d'apprentissage
269,Otaku,Animé,Durant quelle année se déroule l'intrigue de l'animé Japan Sinks 2020 ?,2020
270,Culture G,Histoire,Quelle île du Pacifique a été gouvernée entre 1810 et 1872 par les 5 rois de la dynastie des Kamehameha ?,Hawai / Le Royaume d'Hawai (1795-1893)
271,Japon,Histoire,"Quelle ère de l'histoire du Japon, située entre l'ère Edo et l'ère Taishô, marque la modernisation radicale du pays après la chute du shogunat Tokugawa ?",L'Ère Meiji 
272,Culture G,Littérature,"Quel récit épique, considéré comme l'un des plus anciens récits littéraires de l'histoire de l'humanité, voit son héros légendaire régulièrement utilisé dans la franchise Fate ?",L'Épopée de Gilgamesh
273,Culture G,Géographie,Dans quel pays peut-on admirer le temple d'Angkor Vat ou les vestiges de la cité d'Angkor Thom ?,Au Cambodge
274,Otaku,Animé,"Souvent attribuée uniquement à GAINAX, la série TV Evangelion est en fait une coproduction avec un autre studio. Lequel ?",Tatsunoko
275,JV,Jeu Vidéo,"À la fin d'une baston, comment assène-t-on le coup final à ses adversaires dans la série de jeux vidéo Akiba's Trip ?",En les déshabillant
276,Otaku,Animé,Comment s'appelle le film final de la série Chuunibyou demo Koi ga Shitai (indice : c'est aussi le titre d'un hit de la new wave norvégienne dont le clip est absolument légendaire) ?,Take on Me
277,Otaku,Manga,Comment s'appelle ce chat bleu venu du futur qui eu droit à une très longue adaptation animée à partir de 1973 ?,Doraemon
278,Otaku,Animé,"Dans quelle ville du sud de la France Kamijô Tôma, le héros de la série A Certain Magical Index, est-il parachuté lors du premier épisode de la saison 3 ?",Avignon
279,Culture G,Télévision,"Selon les paroles du générique (français) de sa série, qu'a donc envie de faire Casper le p'tit fantôme ?",Il a envie de jouer (avec tous ses amis)
280,Otaku,Manga,Complétez le titre de ce manga paru en France à partir de 2020 chez Ototo : Le jour où j'ai décidé...,... d'envahir la Terre
281,Culture G,Politique,Quatre présidents des Etats-Unis ont été assassinés lors de leur mandat. Peux-tu m'en citer au moins un ?,"Abraham Lincoln (1865), James Garfield (1881), William McKinley (1901), John Fitzgerald Kennedy (1963"
282,JV,Jeu Vidéo,C'est 15 lycéens assez spéciaux qui sont enfermés dans leur lycée et qui sont forcés de s'entretuer par une mascotte toute mimi. Je viens de te pitcher quelle série de jeux ?,Danganronpa
283,Otaku,Yuri,De quelle comédie romantique Adachi et Shimamura sont-elles les deux héroïnes ?,Adachi & Shimamura
284,Otaku,Manga,"Le protagoniste de Rent a Girlfriend a-t-il déjà été réellement en couple, sans avoir besoin de louer les service d'une fausse petite amie ?","Oui, au début de l'histoire, il vient de se faire larguer par Mami."
285,Otaku,Manga,"Vrai ou Faux : dans l'univers de Rent a Girlfriend, l'entreprise qui loue des fausse petites amies appartient à la même maison-mère qu'une entreprise de location de voitures ?","Faux (jusqu'à preuve du contraire, en tout cas)"
286,Otaku,Manga,Quel secret le héros du manga Kakushigoto essaie-t-il de cacher à sa fille ?,Qu'il dessine des mangas (cochons)
287,Otaku,Light Novel,"Quand elle n'est pas impliquée dans des intrigues amoureuses, à quoi Katarina Claes consacre-t-elle le plus gros de son temps dans My Next Life As A Villainess ?",À la culture et l'entretien de son potager
288,Otaku,Manga,"A trois ans près, combien d'années séparent le début de la publication du manga et le début de la diffusion de l'animé Sing Yesterday for Me ?",23 ans (1997 / 2020)
289,Otaku,Manga,"Dans Sing Yesterday for Me, quel animal, plutôt incongru pour un animal de compagnie, accompagne Haru ?",Un corbeau
290,Culture G,Cinéma,De quelle industrie cinématographique Shahrukh Khan est-il un des acteurs les plus populaires et célèbres ?,Bollywood
291,Otaku,Manga,"Est-ce que Tokyo Revengers, ça compte comme un isekai ?","Non, juste un voyage temporel."
292,Otaku,Manga,À quel gang appartiennent les héros de Tokyo Revengers ?,Tokyo Manjikai (ToMan) / Tokyo Manji Gang
293,Otaku,Mobage,Quelle guilde forment le quatuor principal de Princess Connect ?,La Guilde des Gourmets
294,Otaku,Animé,"D'après Joëlle D. Pomponette, héroïne du film Pompo the Cinéphile, quelle est la durée idéale qu'un film ne devrait pas dépasser ?",90 minutes
295,Otaku,Manga,"L'histoire de Aria se déroule sur Mars, qui a été terraformé afin de rendre la planète vivable. Sur le modèle de quelle ville européenne ?",Venise
296,Otaku,Manga,"C'est l'histoire d'Amu, une collégienne faussement cool, qui du jour au lendemain se retrouve en possession de 3 oeufs colorés et mystérieux. Je te parle de quel manga adapté en animé ?",Shugo Chara!
297,Otaku,Light Novel,Combien de districts composent la République de San Magnolia dans la série 86 - EIGHTY SIX ?,86
298,Otaku,Light Novel,"Dans 86 - EIGHTY SIX, de quel district viennent les jeunes gens qui servent de soldats /  chair à canon à la République de San Magnolia ?",Du 86e
299,Random,Magasin,"Si je suis en manque de crayon de papier, dans quelle enseigne je peux me rendre pour en avoir gratuitement ?",IKEA
300,Culture G,Télévision,De quoi Passe-Partout est-il le maître dans Fort Boyard ?,Le maître des clés
301,Culture G,Internet,Comment s'appelle le navigateur internet de Microsoft ?,Edge
302,Otaku,Manga,"Yatora, le héros de l'excellent manga Blue Period veut aller à Geidai. Mais c'est quoi Geidai ?",L'université des arts de Tokyo (et une des rares facs d'art publiques japonaise)
303,Culture G,Télévision,"À quelle émission de TV dois-je participer si je veux ""partir à Baltard"" ?",À la recherche de la Nouvelle Star
304,Culture G,Tech,"Que signifie le sigle ""VHS"" ?",Video Home System
305,Otaku,Light Novel,"Quelle est la particularité de Kumoko, l'héroïne de So I'm a Spider so What?, au début de la série ?",Elle a été réincarnée en (grosse) araignée dans un monde de fantasy
306,Otaku,Divers,Quel terme désigne ces maquettes de robots fabriquées en plastique et que l'on monte soi-même ?,Gunpla
307,Otaku,Manga,Dans quel endroit est retrouvé Gally au début de l'histoire de Gunnm ?,Une décharge
308,Otaku,Light Novel,"Quel terme on utilise pour désigner des histoires dans lesquelles un personnages est invoqué/réincarné dans un autre monde, souvent très différent du sien ?",Isekai
309,Japon,Mécanique,Quelle marque japonaise a conçu et commercialise dans la vraie vie le scooter Super Cub™ qui est au coeur du roman/manga/animé Super Cub ?,Honda
310,Otaku,Animé,"Quelle série de mécha du début des années 2010 mettait en scène Takuto, le Beau Gosse Galactique (Ginga Bishônen) ?",STAR DRIVER
311,Otaku,Animé,"Peux tu me citer une des séries du studio TRIGGER inspirées de série de super héros, qui parlent d'adolescence et de depression et dont le titre commence par les lettres SSSS ?","SSSS.GRIDMAN, SSSS.DYNΛZENON (et le film Grdiman Universe)"
312,Otaku,Manga,Quelle danse traditionnelle japonaise pratiquent les héroïnes de Hanayamata ?,Le yosakoi
313,Otaku,Roman,Quelle grande chaîne de télévision japonaise a donné son nom à un roman parlant d'un hikikomori mal dans sa peau et qui fait la rencontre une jeune femme qui va changer sa vie ?,La NHK
314,Otaku,Animé,"Pourquoi Yume, l'héroïne SSSS.DYNΛZENON est-elle particulièrement mélancolique tout au long de la série ?",Parce qu'elle n'arrive pas à faire le deuil de sa grande soeur
315,Otaku,Manga,Comment s'appelle ce manga où 2 adolescents insomniaques se rencontrent et finissent par se rapprocher ?,Insomniaques
316,Otaku,One Piece,"Dans One Piece, quelle compétition débile où des capitaines misent des membres de leur équipage donne son nom à un arc très, très con ?",Le Davy Back Fight
317,JV,Jeu Vidéo,Où se déroule l'histoire du jeu vidéo Hadès ?,Dans les Enfers de la mythologie grecque
318,Otaku,Manga,Vrai ou faux : on croise des baleines dans le manga Les Enfants de la Baleine ?,Faux
319,Otaku,Roman,"Dans Bakemonogatari, Hitagi Senjôgahara est sous l'emprise de l'Abbération du Crabe. Quelle est la conséquence de cette malédiction ?",Elle ne pèse que 5kg.
320,Otaku,Manga,C'est quoi la Baleine dans le manga Les Enfants de la Baleine ?,Une île-navire qui dérive sur un océan de sable
321,Otaku,Light Novel,"C'est quoi le super pouvoir de Daisuke, le héros de The Millionaire Detective ?",Il possède un max de thunes. Il est trèèèès à l'aise financièrement.
322,Otaku,Manga,"Peux-tu me citer un one shot qu'a écrit Tatsuki Fujimoto, l'auteur de Chainsaw Man ?",Adieu Eri / Look Back
323,Otaku,Naruto,Comment s'appelle le resto de ramen ou mange régulièrement Naruto ?,Ramen Ichiraku
324,Otaku,Animé,"Quel est le point commun entre les animés Paprika, La Traversée du temps et The Millionaire Detective ?",Ils ont adaptés de romans du même auteur (Yasutaka Tsutsui)
325,JV,Jeu Vidéo,"Dans le premier jeu Metal Gear Solid, quel membre de l'organisation Fox Hound excelle au tirage d'oreille eskimo ?",Vulcan Raven 
326,JV,Jeu Vidéo,Comment s'appelle le personnage qu'incarne le joueur dans la trilogie Mass Effect ?,(Commandant) Shepard 
327,JV,Jeu Vidéo,À quelle espèce extraterrestre appartient Garrus (le bro) dans Mass Effect ?,C'est un Turien 
328,JV,Jeu Vidéo,C'est quoi le nom de ce jeu où tu es projeté quelque part en Google Streetview et tu dois trouver où tu es en t'aidant de ce que tu vois à l'écran ?,GeoGuessr
329,Culture G,Tech,En quelle année est né Netflix ?,En 1998 (mais ils faisaient de la location de VHS par correspondance et ne se sont lancés dans la VOD que 10 ans plus tard).
330,Culture G,Transports,"Dans les transports d'Ile-de-France, pourquoi passe-t-on directement de la ligne L à la ligne N et qu'il n'y a pas de ligne M ?","Pour éviter la confusion, car dans la signalétique, le M est déjà utilisé pour le métro."
331,Otaku,Manga,"Quelle est la particularité de Shizuku, l'héroïne du manga Pakka ?",C'est un kappa.
332,Culture G,Télévision,"En anglais, elles s'appellent Blossom, Bubbles et Buttercup, mais sous quels noms les connaît-on en France ?","Belle, Bulle et Rebelle"
333,Otaku,Manga,"Quelle est la spécificité de Mavis Vermillion, la fondatrice de la guilde Fairy Tail ?",Elle est immortelle / elle a l'apparence d'une enfant 
334,Culture G,Géographie,"Parmi les 5 grands massifs montagneux français, seul deux ne s'étendent qu'en France et pas également dans un ou plusieurs pays frontaliers. Peux-tu en citer au moins un ?",Les Vosges et le Massif Central
335,Japon,Musique,"À la fin des années 1990 et au début des années 2000, le Japon a largement popularisé et produit l'eurobeat. Mais à cette époque, de quel pays provenait souvent les compositeurs de ce style musical ?",D'Italie
336,Japon,Musique,"Quelle maison de disques japonaise, qui continue aujourd'hui encore de contribuer à la production d'animés, est à l'origine de l'explosion de l'eurobeat au Japon ?",Avex
337,Japon,Musique,Comment s'appelait la danse de club que les japonais pratiquaient en groupe à l'époque de l'eurodance et de l'eurobeat et qui consistait à faire des grands mouvements de bras en rythme et en essayant de ne pas frapper accidentellement son voisin ?,Le para para
338,Culture G,Sport,De quoi la FFCK est-elle la fédération française ?,De Canoë-Kayak (et des Sports de Pagaie)
339,Culture G,Santé ,"Dans un lieu public, que puis-je trouver dans une boîte verte fixée au mur et sur laquelle sont inscrites les lettres DAE ?",Un défibrillateur (automatique externe)
340,Otaku,Animé,Vrai ou Faux ? Le manga Tokyo Magnitude 8 a été adapté en animé sous le nom Tokyo Magnitude 8.0.,Et c'est faux ! Les 2 œuvres abordent le même sujet mais ne sont pas liés.
341,Otaku,Manga,"Le héros de March Comes in Like a Lion, il joue aux échecs, au shogi ou au go ?",Au shogi.
342,Otaku,Animé,"Sakura nous le dit à chaque épisode : Un jour, elle a trouvé dans la bibliothèque de son papa... quoi donc ?",Le livre de Clow
343,Otaku,Manga,Qu'est-ce que qu'adore manger Elma dans Miss Kobayashi's Dragon Maid ?,Des pâtisseries
344,Otaku,Roman,"Dans Bakemonogatari, à quel animal est associé Nadeko ?",Au serpent
345,Otaku,Animé,"Quel pouvoir magique possède Akko, l'héroïne de Little Witch Academia ?",Aucun ! Malgré tout elle s'accroche à son rêve !
346,JV,Smash Bros.,Quels étaient les 4 personnages débloquables dans le tout premier jeu Super Smash Bros. sur N64 ?,"Rondoudou, Captain Falcon, Ness et L U I G I"
347,Otaku,Animé,Quelle légende bien française est au cœur de la 2e saison des Mémoires de Vanitas ?,La Bête du Gévaudan
348,Culture G,Musique,Pour quelle chanson est particulièrement connu le groupe de hard-rock français Trust ?,Antisocial
349,Otaku,Animé,"Quel animé de 1990 réalisé par Hideaki Anno au sein du studio Gainax est, d'après le président de l'association Ouestampes, un des meilleurs animés de tous les temps ?","Nadia, le secret de l'eau bleue"
350,Otaku,Light Novel,"Comme elle était pas venue ici pour souffrir, elle a fait quoi, l'héroïne de Bofuri ?",Elle a mis tous ses points en défense.
351,Culture G,Tech,Pourquoi l'extension de nom de domaine de l'Afrique du Sud est .za et pas .sa (comme South Africa) ?,Parce que le .sa est déjà attribué (à l'Arabie Saoudite)
352,Otaku,Manga,"Pour quelle raison Subaru, protagoniste masculin de Konobi - This Art Club has a Problem, a-t-il rejoint le club d'art ?",Pour dessiner sa waifu ultime
353,Culture G,Random,Mon oncle qui se crois jeune mais parle comme un vieux m'a demandé si je consommais du chichon. De quoi voulait-il parler ?,De cannabis
354,Culture G,Random,"Dans les vieux films de gangster, on entend parfois parler de schnouf. C'est quoi la schnouf ?",La cocaïne (et toute forme de drogue qu'on ingère par les narines)
355,Culture G,Géographie,Dans quel coin de France peut-on gravir les Alpes Mancelles ?,"Sarthe, Mayenne, Orne. Point culminant à 216 m, le terme ""Alpes"" est un poil abusé."
356,Otaku,Light Novel,De quelle entité cosmique imaginée par H.P. Lovecraft est inspirée l'héroïne de Haiyore! Nyaruko-chan!,Nyarlathotep
357,Otaku,Animé,Comment s'appelle le compagnon chat de Kiki dans le film de Hayao Miyazaki ?,Jiji
358,Otaku,Animé,Comment s'appelle l'idol new-yorkaise qui rejoint les héroïnes dans la saison 2 de Love Live! Nijigasaki ?,Mia Taylor
359,Otaku,Animé,De quel coin du monde s'est inspiré Hayao Miyazaki pour les décors de son film Kiki la petite sorcière ?,De l'Europe du nord
360,Otaku,Animé,Quel est le surnom de Jean-Jacques Leroy dans Yuri!!! on ICE ?,JJ ou King JJ
361,Otaku,V-Tubing,Quelle v-tubeuse a une communauté de fans très enthousiastes qui se sont surnommés eux-mêmes les Takodachis ?,Ina (Ninomae Ina'nis)
362,Culture G,Random,"Vrai ou faux : la blague ancestrale du ""Tire sur mon doigt"" possède une page Wikipédia en anglais","Vrai (elle s'intitule ""Pull my finger"")"
363,Culture G,Random,"Peux-tu m'expliquer le concept de la bonne vieille blague du ""Tire sur mon doigt"" ?","Le blagueur demande à une tierce personne de tirer sur son doigt et flatule au même moment, comme pour suggérer une relation de cause à effet entre les deux événements."
364,Culture G,Musique,Sur quoi le chanteur Carlos nous proposait-il de pratiquer le Tirelipimpon ?,Sur le Chihuahua 
365,Otaku,Simulcast,"Le 1er juillet 2013, l'entreprise japonaise Docomo lance la version française de Docomo d animestore, son site de VOD d'animés qui était alors le number one japonais en la matière. Elle a duré combien de temps avant de fermer définitivement, cette version française ?",3 mois (du 1er juillet au 30 septembre). GG à eux.
366,Otaku,Tech,Quel logiciel d'animation très prisé de la scène vidéo japonaise aux grandes heures du site Nico Nico Douga (et encore aujourd'hui) est souvent appelé MMD ?,Miku Miku Dance
367,Otaku,Mobage,"Quel jeu mobile coréen met en scène moult jolies filles équipées d'armes à feu et provenant d'écoles nommées Abydos, Trinity ou encore Red Winter ?",Blue Archive
368,Otaku,Animé,"Dans Evangelion, l'Eva-00 est un ""modèle prototype"", l'Eva-01 est un ""modèle de test"", et l'Eva-02 est un ""modèle...","de production"""
369,Otaku,Manga,"Dans Your Lie in April, de quel instrument joue Kaori lorsqu'elle rencontre Kôsei ?",Du mélodica
370,Culture G,Cinéma,"Dans son film Le Mépris, pourquoi Jean-Luc Godard considère-t-il que c'est formidable le cinéma ?","Parce qu'on voit des filles avec des robes, le cinéma arrive et on voit leur cul. (Oui, j'ai pas compris non plus ce qu'il voulait dire.)"
371,Otaku,Animé,"Dans l'animé Air sorti en 2005, quel ""animal"" l'héroïne cherche-t-elle à imiter lorsqu'elle fait ""Gao Gao!"" pour se donner du courage ?",Un dinosaure (un stégosaure pour être précis)
372,Otaku,Simulcast,"Avant de lancer Crunchyroll France, le géant américain du simulcast s'était rapproché de l'éditeur de mangas Kana pour lancer un site français de simulcast. C'était quoi son nom ?",Genzai.fr… eh ouais
373,Culture G,Musique,"En 1993, quel groupe de rap français dansait le Mia ?",IAM
374,Culture G,Cinéma,Quelle révolution est au cœur du film Il était une fois la révolution ?,La révolution mexicaine (de 1910 à 1920)
375,Culture G,Monument,Quel est le monument le plus visité de Paris ?,La Cathédrale Notre-Dame
376,JV,Console,Quelle console de Nintendo avait comme nom de code Projet Café ?,La Wii U
